	TCR_401AB	TCR_403A	TCR_403B	TCR_464A	TCR_471A	TCR_663	TCR_668	TCR_669	TCR_672
clonotype1	71	9	5	30	43	30	125	98	28
clonotype2	39	6	4	20	37	18	63	12	28
clonotype3	35	5	4	20	36	9	26	11	11
clonotype4	13	4	3	18	19	6	18	10	5
clonotype5	13	4	3	18	16	5	10	9	3
clonotype6	11	4	3	16	16	5	9	8	4
clonotype7	9	3	3	14	14	5	7	7	4
clonotype8	8	3	2	12	12	4	7	6	4
clonotype9	7	3	2	7	12	3	7	5	2
clonotype10	7	3	2	7	10	3	7	5	2
clonotype11	6	3	2	6	10	3	7	4	2
clonotype12	6	2	2	6	9	3	6	3	2
clonotype13	5	2	2	6	7	3	6	3	2
clonotype14	5	2	2	6	6	2	6	3	2
clonotype15	5	2	2	6	6	2	6	3	2
clonotype16	5	2	2	6	6	2	5	2	2
clonotype17	4	2	2	6	6	2	5	3	2
clonotype18	4	2	2	5	6	2	5	2	2
clonotype19	4	2	2	5	5	2	5	3	2
clonotype20	3	2	2	5	5	2	5	3	2
clonotype21	3	2	2	5	5	2	4	3	2
clonotype22	3	2	2	5	5	1	4	3	2
clonotype23	3	2	2	5	5	1	3	3	2
clonotype24	3	2	2	5	5	1	3	2	2
clonotype25	3	2	2	4	5	1	3	2	2
clonotype26	3	2	2	4	4	1	3	2	2
clonotype27	3	2	2	4	4	1	3	2	2
clonotype28	3	2	2	4	4	1	3	2	2
clonotype29	3	2	1	3	4	1	3	2	1
clonotype30	3	2	1	3	4	1	3	2	1
clonotype31	3	2	1	3	4	1	3	2	1
clonotype32	3	2	1	3	4	1	3	2	1
clonotype33	3	2	1	3	4	1	3	2	1
clonotype34	3	2	1	3	4	1	3	2	1
clonotype35	2	2	1	3	4	1	3	2	1
clonotype36	2	2	1	3	4	1	3	2	1
clonotype37	2	2	1	3	4	1	3	2	1
clonotype38	2	2	1	3	4	1	3	2	1
clonotype39	2	2	1	3	3	1	3	2	1
clonotype40	2	2	1	2	3	1	3	2	1
clonotype41	2	2	1	2	3	1	2	2	1
clonotype42	2	1	1	2	3	1	2	2	1
clonotype43	2	1	1	2	3	1	2	2	1
clonotype44	2	1	1	2	3	1	2	2	1
clonotype45	2	1	1	2	3	1	2	2	1
clonotype46	2	1	1	2	3	0	2	2	1
clonotype47	2	1	1	2	3	1	2	2	1
clonotype48	2	1	1	2	3	1	2	2	1
clonotype49	2	1	1	2	3	1	2	2	1
clonotype50	2	1	1	2	3	1	2	2	1
clonotype51	2	1	1	2	3	1	2	1	1
clonotype52	2	1	1	2	3	1	1	1	1
clonotype53	2	1	1	2	3	1	1	1	1
clonotype54	2	1	1	2	3	1	2	1	1
clonotype55	2	1	1	2	3	1	2	1	1
clonotype56	2	1	1	2	3	1	2	1	1
clonotype57	2	1	1	2	3	1	2	1	1
clonotype58	2	1	1	2	3	1	2	1	1
clonotype59	1	1	1	2	3	1	2	1	1
clonotype60	1	1	1	2	3	1	2	1	1
clonotype61	1	1	1	2	3	1	2	1	1
clonotype62	1	1	1	2	2	1	2	1	1
clonotype63	1	1	1	2	2	1	2	1	1
clonotype64	1	1	1	2	2	1	2	1	1
clonotype65	1	1	1	2	2	1	1	1	1
clonotype66	1	1	1	2	2	1	2	1	1
clonotype67	1	1	1	1	2	1	2	1	1
clonotype68	1	1	1	2	2	1	2	1	1
clonotype69	1	1	1	2	2	1	2	1	1
clonotype70	1	1	1	2	2	1	2	1	1
clonotype71	1	1	1	2	2	1	2	1	1
clonotype72	1	1	1	2	2	1	2	1	1
clonotype73	1	1	1	1	2	1	2	1	1
clonotype74	1	1	1	1	2	1	2	1	1
clonotype75	1	1	1	1	2	1	2	1	1
clonotype76	1	1	1	1	2	1	2	1	1
clonotype77	1	1	1	1	2	1	2	1	1
clonotype78	1	1	1	1	2	1	2	1	0
clonotype79	1	1	1	1	2	1	2	1	1
clonotype80	1	1	1	1	2	1	2	1	1
clonotype81	1	1	1	1	2	1	2	1	1
clonotype82	1	1	1	1	2	1	2	1	1
clonotype83	1	1	1	1	2	1	2	1	1
clonotype84	1	1	1	1	2	1	2	1	1
clonotype85	1	1	1	1	2	1	2	1	1
clonotype86	1	1	1	1	2	1	1	1	1
clonotype87	1	1	1	1	2	1	1	1	1
clonotype88	1	1	1	1	2	1	1	1	1
clonotype89	1	1	1	1	2	1	1	1	1
clonotype90	1	1	1	1	2	1	1	1	1
clonotype91	1	1	1	1	2	1	1	1	1
clonotype92	1	1	1	1	2	1	1	1	1
clonotype93	1	1	1	1	2	1	1	1	1
clonotype94	1	1	1	1	2	1	1	1	1
clonotype95	1	1	1	1	2	1	1	1	1
clonotype96	1	1	1	1	2	1	1	1	1
clonotype97	1	1	1	1	2	1	1	1	1
clonotype98	1	1	1	1	2	1	1	1	1
clonotype99	1	1	1	1	2	1	1	1	1
clonotype100	1	1	1	1	2	1	1	1	1
clonotype101	1	1	1	1	2	1	1	1	1
clonotype102	1	1	1	1	2	1	1	1	1
clonotype103	1	1	1	1	2	1	1	1	1
clonotype104	1	1	1	1	2	1	1	1	1
clonotype105	1	1	1	1	2	1	1	1	1
clonotype106	1	1	1	1	2	1	1	1	1
clonotype107	1	1	1	1	2	1	1	1	1
clonotype108	1	1	1	1	2	1	1	1	1
clonotype109	1	1	1	1	2	1	1	1	1
clonotype110	1	1	1	1	2	1	1	1	1
clonotype111	1	1	1	1	2	1	1	1	1
clonotype112	1	1	1	1	2	1	1	1	1
clonotype113	1	1	1	1	2	1	1	1	1
clonotype114	1	1	1	1	2	1	1	1	1
clonotype115	1	1	1	1	2	1	1	1	1
clonotype116	1	1	1	1	2	1	1	1	1
clonotype117	1	1	1	1	2	1	1	1	1
clonotype118	1	1	1	1	2	1	1	1	1
clonotype119	1	1	1	1	2	1	1	1	1
clonotype120	1	1	1	1	2	1	1	1	1
clonotype121	1	1	1	1	2	1	1	1	1
clonotype122	1	1	1	1	2	1	1	1	1
clonotype123	1	1	1	1	2	1	1	1	1
clonotype124	1	1	1	1	2	1	1	1	1
clonotype125	1	1	1	1	1	1	1	1	1
clonotype126	1	1	1	1	1	1	1	1	1
clonotype127	1	1	1	1	1	1	1	1	1
clonotype128	1	1	1	1	1	1	1	1	1
clonotype129	1	1	1	1	1	1	1	1	1
clonotype130	1	1	1	1	1	1	1	1	1
clonotype131	1	1	1	1	1	1	1	1	1
clonotype132	1	1	1	1	1	1	1	1	1
clonotype133	1	1	1	1	1	1	1	1	1
clonotype134	1	1	1	1	1	1	1	1	1
clonotype135	1	1	1	1	1	1	1	1	1
clonotype136	1	1	1	1	1	1	1	1	1
clonotype137	1	1	1	1	1	1	1	1	1
clonotype138	1	1	1	1	1	1	1	1	1
clonotype139	1	1	1	1	1	1	1	1	1
clonotype140	1	1	1	1	1	1	1	1	1
clonotype141	1	1	1	1	1	1	1	1	1
clonotype142	1	1	1	1	1	1	1	1	1
clonotype143	1	1	1	1	1	1	1	1	1
clonotype144	1	1	1	1	1	1	1	1	1
clonotype145	1	1	1	1	1	1	1	1	1
clonotype146	1	1	1	1	1	1	1	1	1
clonotype147	1	1	1	1	1	1	1	1	1
clonotype148	1	1	1	1	1	1	1	1	1
clonotype149	1	1	1	1	1	1	1	1	1
clonotype150	1	1	1	1	1	1	1	1	1
clonotype151	1	1	1	1	1	1	1	1	1
clonotype152	1	1	1	1	1	1	1	1	1
clonotype153	1	1	1	1	1	1	1	1	1
clonotype154	1	1	1	1	1	1	1	1	1
clonotype155	1	1	1	1	1	1	1	1	1
clonotype156	1	1	1	1	1	1	1	1	1
clonotype157	1	1	1	1	1	1	1	1	1
clonotype158	1	1	1	1	1	1	1	1	1
clonotype159	1	1	1	1	1	1	1	1	1
clonotype160	1	1	1	1	1	1	1	1	1
clonotype161	1	1	1	1	1	1	1	1	1
clonotype162	1	1	1	1	1	1	1	1	1
clonotype163	1	1	1	1	1	1	1	1	1
clonotype164	1	1	1	1	1	1	1	1	1
clonotype165	1	1	1	1	1	1	1	1	1
clonotype166	1	1	1	1	1	1	1	1	1
clonotype167	1	1	1	1	1	1	1	1	1
clonotype168	1	1	1	1	1	1	1	1	1
clonotype169	1	1	1	1	1	1	1	1	1
clonotype170	1	1	1	1	1	1	1	1	0
clonotype171	1	1	1	1	1	1	1	1	1
clonotype172	1	1	1	1	1	1	1	1	1
clonotype173	1	1	1	1	1	1	1	1	1
clonotype174	1	1	1	1	1	1	1	1	1
clonotype175	1	1	1	1	1	1	1	1	1
clonotype176	1	1	1	1	1	1	1	1	1
clonotype177	1	1	1	1	1	1	1	1	1
