	TCR_401AB	TCR_403A	TCR_403B	TCR_464A	TCR_471A	TCR_663	TCR_668	TCR_669	TCR_672
clonotype1	7.96	1.49	1.23	4.44	3.31	1.42	9.56	4.21	0.99
clonotype2	4.37	0.99	0.99	2.96	2.84	0.85	4.82	0.52	0.99
clonotype3	3.92	0.83	0.99	2.96	2.77	0.43	1.99	0.47	0.39
clonotype4	1.46	0.66	0.74	2.66	1.46	0.28	1.38	0.43	0.18
clonotype5	1.46	0.66	0.74	2.66	1.23	0.24	0.77	0.39	0.11
clonotype6	1.23	0.66	0.74	2.37	1.23	0.24	0.69	0.34	0.14
clonotype7	1.01	0.5	0.74	2.07	1.08	0.24	0.54	0.3	0.14
clonotype8	0.9	0.5	0.49	1.78	0.92	0.19	0.54	0.26	0.14
clonotype9	0.78	0.5	0.49	1.04	0.92	0.14	0.54	0.21	0.07
clonotype10	0.78	0.5	0.49	1.04	0.77	0.14	0.54	0.21	0.07
clonotype11	0.67	0.5	0.49	0.89	0.77	0.14	0.54	0.17	0.07
clonotype12	0.67	0.33	0.49	0.89	0.69	0.14	0.46	0.13	0.07
clonotype13	0.56	0.33	0.49	0.89	0.54	0.14	0.46	0.13	0.07
clonotype14	0.56	0.33	0.49	0.89	0.46	0.09	0.46	0.13	0.07
clonotype15	0.56	0.33	0.49	0.89	0.46	0.09	0.46	0.13	0.07
clonotype16	0.56	0.33	0.49	0.89	0.46	0.09	0.38	0.09	0.07
clonotype17	0.45	0.33	0.49	0.89	0.46	0.09	0.38	0.13	0.07
clonotype18	0.45	0.33	0.49	0.74	0.46	0.09	0.38	0.09	0.07
clonotype19	0.45	0.33	0.49	0.74	0.38	0.09	0.38	0.13	0.07
clonotype20	0.34	0.33	0.49	0.74	0.38	0.09	0.38	0.13	0.07
clonotype21	0.34	0.33	0.49	0.74	0.38	0.09	0.31	0.13	0.07
clonotype22	0.34	0.33	0.49	0.74	0.38	0.05	0.31	0.13	0.07
clonotype23	0.34	0.33	0.49	0.74	0.38	0.05	0.23	0.13	0.07
clonotype24	0.34	0.33	0.49	0.74	0.38	0.05	0.23	0.09	0.07
clonotype25	0.34	0.33	0.49	0.59	0.38	0.05	0.23	0.09	0.07
clonotype26	0.34	0.33	0.49	0.59	0.31	0.05	0.23	0.09	0.07
clonotype27	0.34	0.33	0.49	0.59	0.31	0.05	0.23	0.09	0.07
clonotype28	0.34	0.33	0.49	0.59	0.31	0.05	0.23	0.09	0.07
clonotype29	0.34	0.33	0.25	0.44	0.31	0.05	0.23	0.09	0.04
clonotype30	0.34	0.33	0.25	0.44	0.31	0.05	0.23	0.09	0.04
clonotype31	0.34	0.33	0.25	0.44	0.31	0.05	0.23	0.09	0.04
clonotype32	0.34	0.33	0.25	0.44	0.31	0.05	0.23	0.09	0.04
clonotype33	0.34	0.33	0.25	0.44	0.31	0.05	0.23	0.09	0.04
clonotype34	0.34	0.33	0.25	0.44	0.31	0.05	0.23	0.09	0.04
clonotype35	0.22	0.33	0.25	0.44	0.31	0.05	0.23	0.09	0.04
clonotype36	0.22	0.33	0.25	0.44	0.31	0.05	0.23	0.09	0.04
clonotype37	0.22	0.33	0.25	0.44	0.31	0.05	0.23	0.09	0.04
clonotype38	0.22	0.33	0.25	0.44	0.31	0.05	0.23	0.09	0.04
clonotype39	0.22	0.33	0.25	0.44	0.23	0.05	0.23	0.09	0.04
clonotype40	0.22	0.33	0.25	0.3	0.23	0.05	0.23	0.09	0.04
clonotype41	0.22	0.33	0.25	0.3	0.23	0.05	0.15	0.09	0.04
clonotype42	0.22	0.17	0.25	0.3	0.23	0.05	0.15	0.09	0.04
clonotype43	0.22	0.17	0.25	0.3	0.23	0.05	0.15	0.09	0.04
